threshold_pctile,threshold_vol20_value,index,predictor,coef,tstat,pval,N_highvol
75,0.012314,CSI500,TextPes_std_lag1,-0.001122,-0.952,0.3411,741
75,0.012314,CSI500,TextPes_std_lag2,-0.000191,-0.181,0.8566,741
75,0.012314,CSI500,TextPes_std_lag3,-0.002129,-2.124,0.0337,741
75,0.012314,CSI500,TextPes_std_lag4,7.3e-05,0.06,0.9524,741
75,0.012314,CSI500,TextPes_std_lag5,0.000683,0.524,0.6,741
80,0.013739,CSI300,PhotoPes_std_lag1,0.000225,0.174,0.8619,593
80,0.013739,CSI300,PhotoPes_std_lag2,0.000835,0.829,0.407,593
80,0.013739,CSI300,PhotoPes_std_lag3,-0.002956,-2.338,0.0194,593
80,0.013739,CSI300,PhotoPes_std_lag4,-0.001148,-0.89,0.3736,593
80,0.013739,CSI300,PhotoPes_std_lag5,0.000877,0.763,0.4457,593
80,0.013739,CSI300,TextPes_std_lag1,-0.001905,-1.606,0.1083,593
80,0.013739,CSI300,TextPes_std_lag2,3.5e-05,0.033,0.9735,593
80,0.013739,CSI300,TextPes_std_lag3,-0.001609,-1.317,0.1879,593
80,0.013739,CSI300,TextPes_std_lag4,0.000829,0.635,0.5257,593
80,0.013739,CSI300,TextPes_std_lag5,0.001534,1.132,0.2577,593
80,0.013739,SHCOMP,PhotoPes_std_lag1,2.3e-05,0.019,0.9849,593
80,0.013739,SHCOMP,PhotoPes_std_lag2,0.001048,1.097,0.2724,593
80,0.013739,SHCOMP,PhotoPes_std_lag3,-0.00256,-1.995,0.0461,593
80,0.013739,SHCOMP,PhotoPes_std_lag4,-0.001363,-1.062,0.2881,593
80,0.013739,SHCOMP,PhotoPes_std_lag5,0.000686,0.624,0.5327,593
80,0.013739,SHCOMP,TextPes_std_lag1,-0.001681,-1.441,0.1495,593
80,0.013739,SHCOMP,TextPes_std_lag2,-5e-05,-0.049,0.9609,593
80,0.013739,SHCOMP,TextPes_std_lag3,-0.0016,-1.382,0.1669,593
80,0.013739,SHCOMP,TextPes_std_lag4,0.000708,0.571,0.5683,593
80,0.013739,SHCOMP,TextPes_std_lag5,0.001422,1.063,0.2876,593
80,0.013739,SZCOMP,PhotoPes_std_lag1,0.00098,0.655,0.5123,593
80,0.013739,SZCOMP,PhotoPes_std_lag2,0.001399,1.146,0.2517,593
80,0.013739,SZCOMP,PhotoPes_std_lag3,-0.003149,-2.233,0.0255,593
80,0.013739,SZCOMP,PhotoPes_std_lag4,-0.001689,-1.134,0.2569,593
